gene_id	gene_description	module	subheader	topic_ecosystem	notes
GH92	GH92 mannosyl-oligosaccharide alpha-1,2-mannosidase (EC:3.2.1.113); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC:3.2.1.-); mannosyl-oligosaccharide alpha-1,6-mannosidase (EC:3.2.1.-); alpha-mannosidase (EC:3.2.1.24); alpha-1,2-mannosidase (EC:3.2.1.-); alpha-1,3-mannosidase (EC:3.2.1.-); alpha-1,4-mannosidase (EC:3.2.1.-); mannosyl-1-phosphodiester alpha-1,P-mannosidase (EC:3.2.1.-)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH125	GH125 exo-alpha-1,6-mannosidase (EC:3.2.1.-)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH130	GH130 beta-1,4-mannosylglucose phosphorylase (EC:2.4.1.281); beta-1,4-mannooligosaccharide phosphorylase (EC:2.4.1.319); beta-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC:2.4.1.320); beta-1,2-mannobiose phosphorylase (EC:2.4.1.-); beta-1,2-oligomannan phosphorylase (EC:2.4.1.-); beta-1,2-mannosidase (EC:3.2.1.-)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
CE1	CE1 acetyl xylan esterase (EC:3.1.1.72); cinnamoyl esterase (EC:3.1.1.-); feruloyl esterase (EC:3.1.1.73); carboxylesterase (EC:3.1.1.1); S-formylglutathione hydrolase (EC:3.1.2.12); diacylglycerol O-acyltransferase (EC:2.3.1.20); trehalose 6-O-mycolyltransferase (EC:2.3.1.122)	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
CE2	CE2 acetyl xylan esterase (EC:3.1.1.72).	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
CE4	CE4 acetyl xylan esterase (EC:3.1.1.72); chitin deacetylase (EC:3.5.1.41); chitooligosaccharide deacetylase (EC:3.5.1.-); peptidoglycan GlcNAc deacetylase (EC:3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC:3.5.1.-).	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
CE17	acetyl mannan esterase [EC:3.1.1.-]	Carbon Degradation	Polymers	eng_sys	Hemicellulose Degradation
GH13	GH13 alpha-amylase (EC:3.2.1.1); pullulanase (EC:3.2.1.41); cyclomaltodextrin glucanotransferase (EC:2.4.1.19); cyclomaltodextrinase (EC:3.2.1.54); trehalose-6-phosphate hydrolase (EC:3.2.1.93); oligo-alpha-glucosidase (EC:3.2.1.10); maltogenic amylase (EC:3.2.1.133); neopullulanase (EC:3.2.1.135); alpha-glucosidase (EC:3.2.1.20); maltotetraose-forming alpha-amylase (EC:3.2.1.60); isoamylase (EC:3.2.1.68); glucodextranase (EC:3.2.1.70); maltohexaose-forming alpha-amylase (EC:3.2.1.98); maltotriose-forming alpha-amylase (EC:3.2.1.116); branching enzyme (EC:2.4.1.18); trehalose synthase (EC:5.4.99.16); 4-alpha-glucanotransferase (EC:2.4.1.25); maltopentaose-forming alpha-amylase (EC:3.2.1.-) ; amylosucrase (EC:2.4.1.4) ; sucrose phosphorylase (EC:2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC:3.2.1.141); isomaltulose synthase (EC:5.4.99.11); malto-oligosyltrehalose synthase (EC:5.4.99.15); amylo-alpha-1,6-glucosidase (EC:3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC:2.4.99.16); 6'-P-sucrose phosphorylase (EC:2.4.1.-); amino acid transporter	Carbon Degradation	Polymers	eng_sys	Starch Degradation
GH14	GH14 beta-amylase (EC:3.2.1.2)	Carbon Degradation	Polymers	eng_sys	Starch Degradation
GH15	GH15 glucoamylase (EC:3.2.1.3); glucodextranase (EC:3.2.1.70); alpha,alpha-trehalase (EC:3.2.1.28); dextran dextrinase (EC:2.4.1.2)	Carbon Degradation	Polymers	eng_sys	Starch Degradation
GH57	GH57 alpha-amylase (EC:3.2.1.1); alpha-galactosidase (EC:3.2.1.22); amylopullulanase (EC:3.2.1.41); cyclomaltodextrinase (EC:3.2.1.54); branching enzyme (EC:2.4.1.18); 4-alpha-glucanotransferase (EC:2.4.1.25)	Carbon Degradation	Polymers	eng_sys	Starch Degradation
GH97	GH97 glucoamylase (EC:3.2.1.3); alpha-glucosidase (EC:3.2.1.20); alpha-galactosidase (EC:3.2.1.22)	Carbon Degradation	Polymers	eng_sys	Starch Degradation
GH119	GH119 alpha-amylase (EC:3.2.1.1)	Carbon Degradation	Polymers	eng_sys	Starch Degradation
GH126	GH126 alpha-amylase (EC:3.2.1.-)	Carbon Degradation	Polymers	eng_sys	Starch Degradation
GH133	GH133 amylo-alpha-1,6-glucosidase (EC:3.2.1.33);	Carbon Degradation	Polymers	eng_sys	Starch Degradation
AA13	AA13 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of starch with oxidation of C-1 at the site of cleavage has been demonstrated for the LPMO encoded by gene NCU08746 from Neurospora crassa;	Carbon Degradation	Polymers	eng_sys	Starch Degradation
GH27	GH27 alpha-galactosidase (EC:3.2.1.22); alpha-N-acetylgalactosaminidase (EC:3.2.1.49); isomalto-dextranase (EC:3.2.1.94); beta-L-arabinopyranosidase (EC:3.2.1.88); galactan:galactan galactosyltransferase (EC:2.4.1.-)	Carbon Degradation	Polymers	eng_sys	Galactomannan (Guar Gum) Degradation
GH36	GH36 alpha-galactosidase (EC:3.2.1.22); alpha-N-acetylgalactosaminidase (EC:3.2.1.49); stachyose synthase (EC:2.4.1.67); raffinose synthase (EC:2.4.1.82)	Carbon Degradation	Polymers	eng_sys	Galactomannan (Guar Gum) Degradation
K02777	PTS-Glc-EIIA; PTS system, glucose-specific IIA component	Carbon Degradation	Simple Sugars	eng_sys	Glucose Use
K02779	PTS-Glc-EIIC; PTS system, glucose-specific IIC component	Carbon Degradation	Simple Sugars	eng_sys	Glucose Use
K02791	PTS-MalGlc-EIIC; PTS system, maltose/glucose-specific IIC component	Carbon Degradation	Simple Sugars	eng_sys	Glucose Use
K20118	PTS-Glc1-EIIC; PTS system, glucose-specific IIC component	Carbon Degradation	Simple Sugars	eng_sys	Glucose Use
K18851	glucose-6-phosphate isomerase [EC:5.3.1.9]	Carbon Degradation	Simple Sugars	eng_sys	Glucose Use
K01182	sucrase-isomaltase [EC:3.2.1.48]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K01203	β-fructofuranosidase [EC:3.2.1.26]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K12047	sucrose phosphorylase [EC:2.4.1.7]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K01187	sucrase [EC:3.2.1.48]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K12316	glucosyltransferase [EC:2.4.1.4]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K12317	sucrose-6F-phosphate phosphohydrolase [EC:3.1.3.24]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K06617	raffinose synthase [EC:2.4.1.82]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K01193	beta-fructofuranosidase [EC:3.2.1.26]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K00695	α-glucosidase [EC:3.2.1.20]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K02810	PTS-Scr-EIIC; PTS system, sucrose-specific IIC component	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K00690	maltase-glucoamylase [EC:3.2.1.20]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K05341	glucanotransferase [EC:2.4.1.25]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K00689	oligo-1,6-glucosidase [EC:3.2.1.10]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K00692	isomaltase [EC:3.2.1.10]	Carbon Degradation	Simple Sugars	eng_sys	Sucrose Use
K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]	Carbon Degradation	Simple Sugars	eng_sys	Mannose Use
K02793	mannose PTS system IIA component [EC:2.7.1.191]	Carbon Degradation	Simple Sugars	eng_sys	Mannose Use
K02794	mannose PTS system IIB component [EC:2.7.1.191]	Carbon Degradation	Simple Sugars	eng_sys	Mannose Use
K02795	mannose PTS system IIC component [EC:2.7.1.191]	Carbon Degradation	Simple Sugars	eng_sys	Mannose Use
K02796	mannose PTS system EIID component	Carbon Degradation	Simple Sugars	eng_sys	Mannose Use
K00849	galactokinase [EC:2.7.1.6]	Carbon Degradation	Simple Sugars	eng_sys	Galactose Use
K00965	galactose-1-phosphate uridylyltransferase [EC:2.7.7.12]	Carbon Degradation	Simple Sugars	eng_sys	Galactose Use
K01784	UDP-galactose 4-epimerase [EC:5.1.3.2]	Carbon Degradation	Simple Sugars	eng_sys	Galactose Use
K01785	galactose mutarotase [EC:5.1.3.3]	Carbon Degradation	Simple Sugars	eng_sys	Galactose Use
K00879	L-fucokinase [EC:2.7.1.52]	Carbon Degradation	Simple Sugars	eng_sys	Fucose Use
K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17]	Carbon Degradation	Simple Sugars	eng_sys	Fucose Use
K01818	L-fucose isomerase [EC:5.3.1.25]	Carbon Degradation	Simple Sugars	eng_sys	Fucose Use
K00854	xylose kinase [EC:2.7.1.17]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K01805	xylose isomerase [EC:5.3.1.5]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K00008	xylitol dehydrogenase [EC:1.1.1.9]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K05351	xylulokinase [EC:2.7.1.17]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K17743	xylitol oxidase [EC:1.1.3.41]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K14273	xylulose reductase [EC:1.1.1.9]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K14274	D-xylonate dehydratase [EC:4.2.1.82]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K14275	xylonolactonase [EC:3.1.1.68]	Carbon Degradation	Simple Sugars	eng_sys	Xylose Use
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K27924	mannitol 2-dehydrogenase [EC:1.1.1.67]	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K00847	fructokinase [EC:2.7.1.4]	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K00846	ketohexokinase [EC:2.7.1.3]	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K27475	ketohexokinase [EC:2.7.1.3]	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K02768	PTS-Fru-EIIA; PTS system, fructose-specific IIA component	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K02769	PTS-Fru-EIIB; PTS system, fructose-specific IIB component	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K02770	PTS-Fru-EIIC; PTS system, fructose-specific IIC component	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K02771	PTS-Fru1-EIID; PTS system, fructose-specific IID component	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K11194	PTS-Fru1-EIIA; PTS system, fructose-specific IIA component	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K11195	PTS-Fru1-EIIB; PTS system, fructose-specific IIB component	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K11196	PTS-Fru1-EIIC; PTS system, fructose-specific IIC component	Carbon Degradation	Simple Sugars	eng_sys	Fructose Use
K01804	L-arabinose isomerase [EC:5.3.1.4]	Carbon Degradation	Simple Sugars	eng_sys	Arabinose Use
K26066	arabinose 1-dehydrogenase [EC:1.1.1.46]	Carbon Degradation	Simple Sugars	eng_sys	Arabinose Use
K13873	arabinolactonase [EC:3.1.1.110]	Carbon Degradation	Simple Sugars	eng_sys	Arabinose Use
K19660	arabinonate dehydratase [EC:4.2.1.37]	Carbon Degradation	Simple Sugars	eng_sys	Arabinose Use
K12446	L-arabonate dehydratase [EC:4.2.1.37]	Carbon Degradation	Simple Sugars	eng_sys	Arabinose Use
K00852	ribokinase [EC:2.7.1.15]	Carbon Degradation	Simple Sugars	eng_sys	Ribose Use
K01813	L-rhamnose isomerase [EC:5.3.1.14]	Carbon Degradation	Simple Sugars	eng_sys	Rhamnose Use
K01820	L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]	Carbon Degradation	Simple Sugars	eng_sys	Rhamnose Use
K18337	L-rhamnose 1-dehydrogenase [EC:1.1.1.378 1.1.1.377 1.1.1.173]	Carbon Degradation	Simple Sugars	eng_sys	Rhamnose Use
K00691	maltose phosphorylase [EC:2.4.1.8]	Carbon Degradation	Simple Sugars	eng_sys	Maltose Use
K06896	maltose 6'-phosphate phosphatase [EC:3.1.3.90]	Carbon Degradation	Simple Sugars	eng_sys	Maltose Use
K16146	maltokinase [EC:2.7.1.175]	Carbon Degradation	Simple Sugars	eng_sys	Maltose Use
K00705	4-alpha-glucanotransferase [EC:2.4.1.25]	Carbon Degradation	Simple Sugars	eng_sys	Maltose Use
K22451	4-alpha-glucanotransferase [EC:2.4.1.25]	Carbon Degradation	Simple Sugars	eng_sys	Maltose Use
K12437	polyketide synthase 13	Carbon Degradation	Simple Sugars	eng_sys	Trehalose Use
K02819	PTS-Tre-EIIC; PTS system, trehalose-specific IIC component	Carbon Degradation	Simple Sugars	eng_sys	Trehalose Use
K01194	alpha,alpha-trehalase [EC:3.2.1.28]	Carbon Degradation	Simple Sugars	eng_sys	Trehalose Use
K22934	alpha,alpha-trehalase [EC:3.2.1.28]	Carbon Degradation	Simple Sugars	eng_sys	Trehalose Use
K01190	beta-galactosidase	Carbon Degradation	Simple Sugars	eng_sys	Lactose Use
K12111	evolved beta-galactosidase subunit alpha	Carbon Degradation	Simple Sugars	eng_sys	Lactose Use
K12112	evolved beta-galactosidase subunit beta	Carbon Degradation	Simple Sugars	eng_sys	Lactose Use
K12309	beta-galactosidase	Carbon Degradation	Simple Sugars	eng_sys	Lactose Use
K01189	alpha-galactosidase [EC:3.2.1.22]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K07406	melA; alpha-galactosidase [EC:3.2.1.22]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K07407	alpha-galactosidase [EC:3.2.1.22]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K22251	golD; glycerol dehydrogenase [EC:1.1.1.6]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K18097	glycerol 2-dehydrogenase (NADP+) [EC:1.1.1.156]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K00864	glpK; glycerol kinase [EC:2.7.1.30]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K06120	dhaB; glycerol dehydratase large subunit [EC:4.2.1.30]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K06121	glycerol dehydratase medium subunit [EC:4.2.1.30]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K06122	glycerol dehydratase small subunit [EC:4.2.1.30]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K00002	adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K13979	yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	Carbon Degradation	Other Carbon	eng_sys	Glycerol Use
K14028	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	Carbon Degradation	Other Carbon	eng_sys	Methanol Use
K16254	mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	Carbon Degradation	Other Carbon	eng_sys	Methanol Use
K16566	exoY; exopolysaccharide production protein ExoY	Biofilms & Attachment	EPS	eng_sys	EPS Production
K16557	exoA; succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]	Biofilms & Attachment	EPS	eng_sys	EPS Production
K16556	exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]	Biofilms & Attachment	EPS	eng_sys	EPS Production
K16555	exoO; succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]	Biofilms & Attachment	EPS	eng_sys	EPS Production
K19290	alg8; mannuronan synthase [EC:2.4.1.33]	Biofilms & Attachment	EPS	eng_sys	EPS Production
K19291	alg44; mannuronan synthase [EC:2.4.1.33]	Biofilms & Attachment	EPS	eng_sys	EPS Production
K19293	algX; alginate biosynthesis protein AlgX	Biofilms & Attachment	EPS	eng_sys	EPS Production
K19294	algI; alginate O-acetyltransferase complex protein AlgI	Biofilms & Attachment	EPS	eng_sys	EPS Production
K19295	algJ; alginate O-acetyltransferase complex protein AlgJ	Biofilms & Attachment	EPS	eng_sys	EPS Production
K19296	algF; alginate O-acetyltransferase complex protein AlgF	Biofilms & Attachment	EPS	eng_sys	EPS Production
K11936	pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	Biofilms & Attachment	EPS	eng_sys	EPS Production
K11937	pgaD; biofilm PGA synthesis protein PgaD	Biofilms & Attachment	EPS	eng_sys	EPS Production
K20997	pslA; polysaccharide biosynthesis protein PslA	Biofilms & Attachment	EPS	eng_sys	EPS Production
K21001	pslH; polysaccharide biosynthesis protein PslH	Biofilms & Attachment	EPS	eng_sys	EPS Production
K21154	pssM; exopolysaccharide glucosyl ketal-pyruvate-transferase [EC:2.5.1.98]	Biofilms & Attachment	EPS	eng_sys	EPS Production
K25902	pssA; acidic exopolysaccharide biosynthesis protein PssA	Biofilms & Attachment	EPS	eng_sys	EPS Production
K25904	pssE; exopolysaccharide biosynthesis glucuronosyltransferase PssE	Biofilms & Attachment	EPS	eng_sys	EPS Production
K25906	pssS; exopolysaccharide biosynthesis glucosyltransferase PssS	Biofilms & Attachment	EPS	eng_sys	EPS Production
K25205	pslC; polysaccharide biosynthesis protein PslC	Biofilms & Attachment	EPS	eng_sys	EPS Production
K21461	poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein	Biofilms & Attachment	EPS	eng_sys	EPS Production
K07173	luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K13060	lasI; acyl homoserine lactone synthase [EC:2.3.1.184]	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K13061	rhlI/phzI/solI/cepI/tofI; acyl homoserine lactone synthase [EC:2.3.1.184]	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K18304	lasR; LuxR family transcriptional regulator, quorum-sensing system regulator LasR	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K18099	rhlR/phzR; LuxR family transcriptional regulator, quorum-sensing system regulator RhlR	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K10555	lsrB; AI-2 transport system substrate-binding protein	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K10556	lsrC; AI-2 transport system permease protein	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K10557	lsrD; AI-2 transport system permease protein	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K10558	lsrA/ego; AI-2 transport system ATP-binding protein	Biofilms & Attachment	Quorum Sensing	eng_sys	Quorum Sensing
K02410	fliG; flagellar motor switch protein FliG	Biofilms & Attachment	Motility	eng_sys	Motility
K02411	fliH; flagellar assembly protein FliH	Biofilms & Attachment	Motility	eng_sys	Motility
K02406	fliC, hag; flagellin	Biofilms & Attachment	Motility	eng_sys	Motility
K02407	fliD; flagellar hook-associated protein 2	Biofilms & Attachment	Motility	eng_sys	Motility
K02400	flhA; flagellar biosynthesis protein FlhA	Biofilms & Attachment	Motility	eng_sys	Motility
K02408	fliE; flagellar hook-basal body complex protein FliE	Biofilms & Attachment	Motility	eng_sys	Motility
K02409	fliF; flagellar M-ring protein FliF	Biofilms & Attachment	Motility	eng_sys	Motility
K02412	fliI; flagellum-specific ATP synthase [EC:7.4.2.8]	Biofilms & Attachment	Motility	eng_sys	Motility
K02416	fliM; flagellar motor switch protein FliM	Biofilms & Attachment	Motility	eng_sys	Motility
K02417	fliN; flagellar motor switch protein FliN	Biofilms & Attachment	Motility	eng_sys	Motility
K02386	flgA; flagellar basal body P-ring formation protein FlgA	Biofilms & Attachment	Motility	eng_sys	Motility
K02387	flgB; flagellar basal-body rod protein FlgB	Biofilms & Attachment	Motility	eng_sys	Motility
K02391	flgF; flagellar basal-body rod protein FlgF	Biofilms & Attachment	Motility	eng_sys	Motility
K02393	flgH; flagellar L-ring protein FlgH	Biofilms & Attachment	Motility	eng_sys	Motility
K02404	flhF; flagellar biosynthesis protein FlhF	Biofilms & Attachment	Motility	eng_sys	Motility
K02405	fliC; flagellin FliC (flagellar filament structural protein)	Biofilms & Attachment	Motility	eng_sys	Motility
K07646	kdpD; 2-component system OmpR family sensor histidine kinase	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K07667	kdpE; 2-component system OmpR family sensor histidine kinase	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K01545	kdpF; K+transporting ATPase ATPase F chain	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K01546	kdpA; K+transporting ATPase ATPase A chain	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K01547	kdpB; K+transporting ATPase ATPase B chain	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K01548	kdpC; K+transporting ATPase ATPase C chain	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K03315	nhaC; Na+:H+ antiporter	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K07084	nhaC; Na+:H+ antiporter	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05565	multicomponent Na+:H+ antiporter subunit A	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05566	multicomponent Na+:H+ antiporter subunit B	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05567	multicomponent Na+:H+ antiporter subunit C	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05568	multicomponent Na+:H+ antiporter subunit D	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05569	multicomponent Na+:H+ antiporter subunit E	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05570	multicomponent Na+:H+ antiporter subunit F	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05571	multicomponent Na+:H+ antiporter subunit G	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05559	phaAB; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05560	phaC; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05561	phaD; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05562	phaE; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05563	phaF; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K05564	phaG; Polyhydroxyalkanoate (PHA) K transporters (multi-subunit)	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K03499	trkA, ktrA; trkA type sodium hydrogen exchanger	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K03498	trkH, ktrB; trkH type K uptake	Environmental Stress Response	Osmoregulation	eng_sys	Salt-In Strategy (K+ Accumulation)
K00108	betA; choline dehydrogenase	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Synthesis)
K11440	choline dehydrogenase [EC:1.1.1.1]	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Synthesis)
K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Synthesis)
K18896	glycine/sarcosine N-methyltransferase	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Synthesis)
K18897	sdmt; sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Synthesis)
K02168	betP,T,S; choline/glycine/proline betaine transport protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K03451	choline/carnitine/betaine/glycine/BCCT transporter	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K05245	L-carnitine/gamma-butyrobetaine antiporter	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K03762	proP; Proline/betaine (ProP) MFS transporter, PPII, proline permease II	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K03607	proQ; proline/betaine (ProP effector)	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K02000	proV; glycine-betaine/proline transport system ATP binding protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K02001	proW; glycine-betaine/proline transport system permease protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K02002	proX; glycine-betaine/proline transport system substrate binding protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K05020	opuD; glycine-betaine transporter	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K10036	glnH; glutamine transport system substrate-binding protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K10037	glnP; glutamine transport system permease protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K10038	glnQ; glutamine transport system ATP-binding protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K05845	opuC; Osmoprotectant transport system substrate binding protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K05846	opuBD; Osmoprotectant transport system permease	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K05847	opuA; Osmoprotectant transport system ATP-binding protein	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Methylated (Transport)
K06718	ectA; diaminobutyrate acetyltransferase	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Ectoine (Synthesis)
K00836	ectB; diaminobutyrate aminotransferase	Environmental Stress Response	Osmoregulation	eng_sys	Compatible Solutes: Ectoine (Synthesis)
