gene_id	gene_description	pathway	module	subheader	topic_ecosystem	note	reference
S15	Xaa-Pro dipeptidyl peptidase and its homologues	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S16	Endopeptidases, mostly ATP-dependent	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S24	Two-domain proteins that undergo autolysis, separating the functional domains	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S26		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S28	Exopeptidases that hydrolyse prolyl bonds, and are known only from eukaryotes	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S33	Exopeptidases that act at the N-terminus of peptides	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S37	Tripeptidyl-peptidase from {Streptomyces}	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S41		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S45	Self-cleaving precursor proteins of N-terminal nucleophile acylases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S46	Dipeptidyl-peptidases from bacteria	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S49		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S50	Polyprotein processing endopeptidases from double-stranded RNA viruses	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S51	Exopeptidases that hydrolyse alpha-aspartyl bonds	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S53	Acid-acting endopeptidases and a tripeptidyl-peptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S54	Membrane-bound serine endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S55	Endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S59	Autolytic endopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S60	Endopeptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S66	Bacterial LD-carboxypeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
S73	Serine endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Serine Peptidase	ag
T01		Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Threonine Peptidase	ag
T02	N-terminal nucleophile hydrolases	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Threonine Peptidase	ag
T03	Self-processing proteins that express aminopeptidase as well as aminotransferase activities in their mature forms	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Threonine Peptidase	ag
T05	Self-processing ornithine acetyltransferase precursor	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Threonine Peptidase	ag
T07	CwpV (Clostridium difficile) self-cleaving threonine peptidase	Extracellular peptidases	Organic Nitrogen Transformations	Extracellular Threonine Peptidase	ag
U32	Endopeptidases from bacteria	Extracellular peptidases	Organic Nitrogen Transformations	Unknown Peptidase	ag
U62	Microcin-processing peptidases	Extracellular peptidases	Organic Nitrogen Transformations	Unknown Peptidase	ag
U69	Self-processing peptidases	Extracellular peptidases	Organic Nitrogen Transformations	Unknown Peptidase	ag
U72	Isopeptidase and endopeptidases	Extracellular peptidases	Organic Nitrogen Transformations	Unknown Peptidase	ag
U73		Extracellular peptidases	Organic Nitrogen Transformations	Unknown Peptidase	ag
U74	neprosin	Extracellular peptidases	Organic Nitrogen Transformations	Unknown Peptidase	ag
K10944	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K10945	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K10946	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K10535	hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	Nitrification= ammonia => nitrite	Inorganic Nitrogen Transformations	Aerobic Ammonium Oxidation	ag
K00261	glutamate dehydrogenase, gdhA	alpha-ketoglutarate + NH3 -> glutamate	Nitrogen Cycling	Assimilation	ag
K01915	glutamine synthetase glnA, [EC: 6.3.1.2]	NH3 + glutamate -> Glutamine; GS pathway	Nitrogen Cycling	Addtion/Retention	ag
K00982	glnE; regulator	regulator of GS, up or down based on N abundnace	Nitrogen Cycling	Addtion/Retention	ag
K00266	gltD; subunit	GOGAT pathway	Nitrogen Cycling	Addtion/Retention	ag
K19338	Nac protein; N assimilation regulator	gltBDF repressor	Nitrogen Cycling	Addtion/Retention	ag
K01914	asnA Asparagine synthase A	ammonium dependent; expression is repressed under N-limiting conditions	Nitrogen Cycling	Addtion/Retention	ag
K01953	asnB Asparagine synthase B	glutamine dependent	Nitrogen Cycling	Addtion/Retention	ag
