name	alias	rule	topic_ecosystem	notes
Ethanol	ethanol	[K01568 & [K00001 | K00121 | K13953]] | [[K00001 | K04072] & [K00128 | K00149] & K01895]	carbon
Lipids Glycerol	Glycerol	K01189 | K07406 | K07407 | K00005 | K22251 | K18097 | K00864 | K06120 | K06121 | K06122 | K00011 | K00002 | K13979	carbon
Autotroph	Autotroph	Calvin | ReductiveCitricAcid | HydroxypropionateHydroxybutylate | DicarboxylateHydroxybutyrate | 3Hydroxypropionate | ReductiveAcetylCoAWoodLjungdahl | reductive_glycine_pathway	carbon
	Calvin	2OxoglutarateFerredoxinOxidoreductase&CalvinCycle50p	carbon
	CalvinCycle50p	percent(50, CalvinCycle)	carbon
	CalvinCycle	K00927 | EC:2.7.2.3,K05298 | EC:1.2.1.13,K00150 | EC:1.2.1.59,K00134 | EC:1.2.1.12,K01623 | EC:4.1.2.13,K01624 | EC:4.1.2.13,K03841 | EC:3.1.3.11,K02446 | EC:3.1.3.11,K11532 | EC:3.1.3.11,K01086 | EC:3.1.3.11,K04041 | EC:3.1.3.11,K00615 | EC:2.2.1.1,K01100 | EC:3.1.3.37,K01807 | EC:5.3.1.6,K01808 | EC:5.3.1.6,K00855 | EC:2.7.1.19	carbon
	2OxoglutarateFerredoxinOxidoreductase	2OxoglutarateFerredoxinOxidoreductaseLarge | 2OxoglutarateFerredoxinOxidoreductaseSmall	carbon
	2OxoglutarateFerredoxinOxidoreductaseLarge	K01601 | EC:4.1.1.39	carbon
	2OxoglutarateFerredoxinOxidoreductaseSmall	K01602 | EC:4.1.1.39	carbon
	ReductiveCitricAcid	2OxoglutarateFerredoxin & ReductiveCitricAcidCycle50p	carbon	Jared update
	2OxoglutarateFerredoxin	K00174 | EC:1.2.7.3 | K00175 | EC:1.2.7.3 | K00177 | EC:1.2.7.3 | K00176 | EC:1.2.7.3	carbon
	ReductiveCitricAcidCycle50p	percent(50, ReductiveCitricAcidCycle)	carbon
